date,daily-atr,close,spike,doji,spike-doji,doji-v,spike-v,spike-doji-v,long,short
2024-09-04T11:32:00Z,,1.10505,flat,short,flat,-1.0,0.0,0.0,p1-low,
2024-09-04T11:33:00Z,,1.10502,flat,short,flat,-1.0,0.0,0.0,p1-low,
2024-09-04T11:34:00Z,,1.10481,flat,short,flat,-1.0,0.0,0.0,p1-low,
2024-09-04T11:35:00Z,,1.10477,flat,short,flat,-1.0,0.0,0.0,p1-low,
2024-09-04T11:36:00Z,,1.10471,flat,short,flat,-1.0,0.0,0.0,p1-low,
2024-09-04T11:37:00Z,,1.10459,flat,short,flat,-1.0,0.0,0.0,p1-low,
2024-09-04T11:38:00Z,,1.10472,flat,flat,flat,0.0,0.0,0.0,p1-low,
2024-09-04T11:39:00Z,,1.10475,flat,flat,flat,0.0,0.0,0.0,p1-low,
2024-09-04T11:40:00Z,,1.10462,flat,short,flat,-1.0,0.0,0.0,p1-low,
2024-09-04T11:41:00Z,,1.10471,flat,flat,flat,0.0,0.0,0.0,p1-low,
2024-09-04T11:42:00Z,,1.1046,flat,short,flat,-1.0,0.0,0.0,p1-low,
2024-09-04T11:43:00Z,,1.10463,flat,flat,flat,0.0,0.0,0.0,p1-low,
2024-09-04T11:44:00Z,,1.1046,flat,short,flat,-1.0,0.0,0.0,p1-low,
2024-09-04T11:45:00Z,,1.10467,flat,flat,flat,0.0,0.0,0.0,p1-low,
2024-09-04T11:46:00Z,,1.10482,flat,flat,flat,0.0,0.0,0.0,p1-low,
2024-09-04T11:47:00Z,,1.1047,flat,short,flat,-1.0,0.0,0.0,p1-low,
2024-09-04T11:48:00Z,,1.10467,flat,short,flat,-1.0,0.0,0.0,p1-low,
2024-09-04T11:49:00Z,,1.10462,flat,short,flat,-1.0,0.0,0.0,p1-low,
2024-09-04T11:50:00Z,,1.10467,flat,flat,flat,0.0,0.0,0.0,p1-low,
2024-09-04T11:51:00Z,,1.1046,flat,short,flat,-1.0,0.0,0.0,p1-low,
2024-09-04T11:52:00Z,,1.10456,flat,short,flat,-1.0,0.0,0.0,p1-low,
2024-09-04T11:53:00Z,,1.10446,flat,short,flat,-1.0,0.0,0.0,p1-low,
2024-09-04T11:54:00Z,,1.10434,flat,short,flat,-1.0,0.0,0.0,p1-low,
2024-09-04T11:55:00Z,,1.10477,flat,flat,flat,0.0,0.0,0.0,p1-low,
2024-09-04T11:56:00Z,,1.10495,flat,flat,flat,0.0,0.0,0.0,p1-low,
2024-09-04T11:57:00Z,,1.10493,flat,short,flat,-1.0,0.0,0.0,p1-low,
2024-09-04T11:58:00Z,,1.10494,flat,long,flat,1.0,0.0,0.0,p1-low,
2024-09-04T11:59:00Z,,1.10503,flat,flat,flat,0.0,0.0,0.0,p1-low,
2024-09-04T12:00:00Z,,1.10491,flat,short,flat,-1.0,0.0,0.0,p1-low,
2024-09-04T12:01:00Z,,1.10489,flat,short,flat,-1.0,0.0,0.0,p1-low,
2024-09-04T12:02:00Z,,1.10496,flat,flat,flat,0.0,0.0,0.0,p1-low,
2024-09-04T12:03:00Z,,1.10476,flat,short,flat,-1.0,0.0,0.0,p1-low,
